#Projectile Motion Simulation Data
#Validation Type: Without Air Resistance
#Initial Position (m): (0, 0, 10)
#Initial Velocity (m/s): (15, 5, 15)
#Initial Spin (rad/s): (0, 0, 0)
#Diameter (m): 0.2
#Mass (kg): 1
#Drag Coefficient: 0
#Air Density (kg/m^3): 0
#Final Time (s): 3.621
#Final Position (m): (54.315, 18.105, 0.0024009)

Time,X,Y,Z
0,0,0,10
0.001,0.015,0.005,10.015
0.002,0.03,0.01,10.03
0.003,0.045,0.015,10.045
0.004,0.06,0.02,10.0599
0.005,0.075,0.025,10.0749
0.006,0.09,0.03,10.0898
0.007,0.105,0.035,10.1048
0.008,0.12,0.04,10.1197
0.009,0.135,0.045,10.1346
0.01,0.15,0.05,10.1495
0.011,0.165,0.055,10.1644
0.012,0.18,0.06,10.1793
0.013,0.195,0.065,10.1942
0.014,0.21,0.07,10.209
0.015,0.225,0.075,10.2239
0.016,0.24,0.08,10.2387
0.017,0.255,0.085,10.2536
0.018,0.27,0.09,10.2684
0.019,0.285,0.095,10.2832
0.02,0.3,0.1,10.298
0.021,0.315,0.105,10.3128
0.022,0.33,0.11,10.3276
0.023,0.345,0.115,10.3424
0.024,0.36,0.12,10.3572
0.025,0.375,0.125,10.3719
0.026,0.39,0.13,10.3867
0.027,0.405,0.135,10.4014
0.028,0.42,0.14,10.4162
0.029,0.435,0.145,10.4309
0.03,0.45,0.15,10.4456
0.031,0.465,0.155,10.4603
0.032,0.48,0.16,10.475
0.033,0.495,0.165,10.4897
0.034,0.51,0.17,10.5043
0.035,0.525,0.175,10.519
0.036,0.54,0.18,10.5336
0.037,0.555,0.185,10.5483
0.038,0.57,0.19,10.5629
0.039,0.585,0.195,10.5775
0.04,0.6,0.2,10.5922
0.041,0.615,0.205,10.6068
0.042,0.63,0.21,10.6213
0.043,0.645,0.215,10.6359
0.044,0.66,0.22,10.6505
0.045,0.675,0.225,10.6651
0.046,0.69,0.23,10.6796
0.047,0.705,0.235,10.6942
0.048,0.72,0.24,10.7087
0.049,0.735,0.245,10.7232
0.05,0.75,0.25,10.7377
0.051,0.765,0.255,10.7522
0.052,0.78,0.26,10.7667
0.053,0.795,0.265,10.7812
0.054,0.81,0.27,10.7957
0.055,0.825,0.275,10.8102
0.056,0.84,0.28,10.8246
0.057,0.855,0.285,10.8391
0.058,0.87,0.29,10.8535
0.059,0.885,0.295,10.8679
0.06,0.9,0.3,10.8823
0.061,0.915,0.305,10.8967
0.062,0.93,0.31,10.9111
0.063,0.945,0.315,10.9255
0.064,0.96,0.32,10.9399
0.065,0.975,0.325,10.9543
0.066,0.99,0.33,10.9686
0.067,1.005,0.335,10.983
0.068,1.02,0.34,10.9973
0.069,1.035,0.345,11.0116
0.07,1.05,0.35,11.026
0.071,1.065,0.355,11.0403
0.072,1.08,0.36,11.0546
0.073,1.095,0.365,11.0689
0.074,1.11,0.37,11.0831
0.075,1.125,0.375,11.0974
0.076,1.14,0.38,11.1117
0.077,1.155,0.385,11.1259
0.078,1.17,0.39,11.1402
0.079,1.185,0.395,11.1544
0.08,1.2,0.4,11.1686
0.081,1.215,0.405,11.1828
0.082,1.23,0.41,11.197
0.083,1.245,0.415,11.2112
0.084,1.26,0.42,11.2254
0.085,1.275,0.425,11.2396
0.086,1.29,0.43,11.2537
0.087,1.305,0.435,11.2679
0.088,1.32,0.44,11.282
0.089,1.335,0.445,11.2961
0.09,1.35,0.45,11.3103
0.091,1.365,0.455,11.3244
0.092,1.38,0.46,11.3385
0.093,1.395,0.465,11.3526
0.094,1.41,0.47,11.3667
0.095,1.425,0.475,11.3807
0.096,1.44,0.48,11.3948
0.097,1.455,0.485,11.4088
0.098,1.47,0.49,11.4229
0.099,1.485,0.495,11.4369
0.1,1.5,0.5,11.451
0.101,1.515,0.505,11.465
