#Projectile Motion Simulation Data
#Validation Type: With Air Resistance
#Initial Position (m): (0, 0, 10)
#Initial Velocity (m/s): (15, 5, 15)
#Initial Spin (rad/s): (0, 0, 0)
#Diameter (m): 0.04
#Mass (kg): 0.0027
#Drag Coefficient: 0.5
#Air Density (kg/m^3): 1.27
#Final Time (s): 3.074
#Final Position (m): (10.8521, 3.61735, 0.000383062)

Time,X,Y,Z
0,0,0,10
0.001,0.0149759,0.00499197,10.015
0.002,0.0299038,0.00996794,10.0299
0.003,0.0447841,0.014928,10.0447
0.004,0.059617,0.0198723,10.0595
0.005,0.0744028,0.0248009,10.0743
0.006,0.089142,0.029714,10.089
0.007,0.103835,0.0346116,10.1036
0.008,0.118481,0.0394938,10.1182
0.009,0.133082,0.0443607,10.1327
0.01,0.147638,0.0492125,10.1472
0.011,0.162148,0.0540492,10.1616
0.012,0.176613,0.058871,10.1759
0.013,0.191034,0.0636779,10.1902
0.014,0.20541,0.06847,10.2045
0.015,0.219742,0.0732474,10.2187
0.016,0.234031,0.0780102,10.2328
0.017,0.248276,0.0827585,10.2469
0.018,0.262477,0.0874925,10.2609
0.019,0.276636,0.0922121,10.2749
0.02,0.290752,0.0969175,10.2888
0.021,0.304826,0.101609,10.3027
0.022,0.318858,0.106286,10.3165
0.023,0.332848,0.110949,10.3303
0.024,0.346796,0.115599,10.344
0.025,0.360703,0.120234,10.3577
0.026,0.374569,0.124856,10.3713
0.027,0.388394,0.129465,10.3849
0.028,0.402179,0.13406,10.3984
0.029,0.415923,0.138641,10.4119
0.03,0.429627,0.143209,10.4253
0.031,0.443291,0.147764,10.4387
0.032,0.456916,0.152305,10.4521
0.033,0.470501,0.156834,10.4653
0.034,0.484048,0.161349,10.4786
0.035,0.497555,0.165852,10.4918
0.036,0.511024,0.170341,10.5049
0.037,0.524454,0.174818,10.518
0.038,0.537847,0.179282,10.531
0.039,0.551201,0.183734,10.544
0.04,0.564518,0.188173,10.557
0.041,0.577797,0.192599,10.5699
0.042,0.591039,0.197013,10.5827
0.043,0.604244,0.201415,10.5956
0.044,0.617412,0.205804,10.6083
0.045,0.630544,0.210181,10.621
0.046,0.643639,0.214546,10.6337
0.047,0.656698,0.218899,10.6464
0.048,0.669721,0.22324,10.6589
0.049,0.682708,0.227569,10.6715
0.05,0.69566,0.231887,10.684
0.051,0.708577,0.236192,10.6964
0.052,0.721458,0.240486,10.7088
0.053,0.734304,0.244768,10.7212
0.054,0.747116,0.249039,10.7335
0.055,0.759893,0.253298,10.7458
0.056,0.772636,0.257545,10.7581
0.057,0.785345,0.261782,10.7703
0.058,0.79802,0.266007,10.7824
0.059,0.810661,0.27022,10.7945
0.06,0.823269,0.274423,10.8066
0.061,0.835843,0.278614,10.8186
0.062,0.848384,0.282795,10.8306
0.063,0.860892,0.286964,10.8426
0.064,0.873367,0.291122,10.8545
0.065,0.88581,0.29527,10.8663
0.066,0.89822,0.299407,10.8781
0.067,0.910598,0.303533,10.8899
0.068,0.922944,0.307648,10.9017
0.069,0.935258,0.311753,10.9134
0.07,0.947541,0.315847,10.925
0.071,0.959791,0.31993,10.9367
0.072,0.972011,0.324004,10.9482
0.073,0.984199,0.328066,10.9598
0.074,0.996356,0.332119,10.9713
0.075,1.00848,0.336161,10.9828
0.076,1.02058,0.340193,10.9942
0.077,1.03264,0.344214,11.0056
0.078,1.04468,0.348226,11.0169
0.079,1.05668,0.352228,11.0282
0.08,1.06866,0.356219,11.0395
0.081,1.0806,0.360201,11.0507
0.082,1.09252,0.364172,11.0619
0.083,1.1044,0.368134,11.0731
0.084,1.11626,0.372086,11.0842
0.085,1.12809,0.376029,11.0953
0.086,1.13988,0.379961,11.1064
0.087,1.15165,0.383884,11.1174
0.088,1.16339,0.387797,11.1283
0.089,1.1751,0.391701,11.1393
0.09,1.18679,0.395596,11.1502
0.091,1.19844,0.399481,11.161
0.092,1.21007,0.403356,11.1719
0.093,1.22167,0.407222,11.1827
0.094,1.23324,0.411079,11.1934
0.095,1.24478,0.414927,11.2041
0.096,1.2563,0.418765,11.2148
0.097,1.26778,0.422594,11.2255
0.098,1.27924,0.426415,11.2361
0.099,1.29068,0.430226,11.2467
0.1,1.30208,0.434028,11.2572
0.101,1.31346,0.437821,11.2677
0.102,1.32482,0.441605,11.2782
0.103,1.33614,0.44538,11.2887
0.104,1.34744,0.449147,11.2991
0.105,1.35871,0.452905,11.3094
0.106,1.36996,0.456654,11.3198
0.107,1.38118,0.460394,11.3301
0.108,1.39238,0.464126,11.3404
0.109,1.40355,0.467849,11.3506
0.11,1.41469,0.471563,11.3608
0.111,1.42581,0.475269,11.371
0.112,1.4369,0.478967,11.3811
0.113,1.44797,0.482656,11.3912
0.114,1.45901,0.486337,11.4013
0.115,1.47003,0.490009,11.4113
0.116,1.48102,0.493673,11.4214
0.117,1.49199,0.497329,11.4313
0.118,1.50293,0.500976,11.4413
0.119,1.51385,0.504615,11.4512
0.12,1.52474,0.508247,11.4611
0.121,1.53561,0.51187,11.4709
0.122,1.54645,0.515485,11.4807
0.123,1.55728,0.519092,11.4905
0.124,1.56807,0.522691,11.5003
0.125,1.57885,0.526282,11.51
0.126,1.58959,0.529865,11.5197
0.127,1.60032,0.53344,11.5293
0.128,1.61102,0.537007,11.539
0.129,1.6217,0.540567,11.5486
0.13,1.63236,0.544119,11.5581
0.131,1.64299,0.547663,11.5677
0.132,1.6536,0.551199,11.5772
0.133,1.66418,0.554728,11.5867
0.134,1.67475,0.558249,11.5961
0.135,1.68529,0.561763,11.6055
0.136,1.69581,0.565269,11.6149
0.137,1.7063,0.568767,11.6243
0.138,1.71678,0.572259,11.6336
0.139,1.72723,0.575742,11.6429
0.14,1.73766,0.579218,11.6522
0.141,1.74806,0.582687,11.6614
0.142,1.75845,0.586149,11.6706
0.143,1.76881,0.589603,11.6798
0.144,1.77915,0.59305,11.6889
0.145,1.78947,0.59649,11.6981
0.146,1.79977,0.599922,11.7071
0.147,1.81004,0.603347,11.7162
0.148,1.8203,0.606766,11.7252
0.149,1.83053,0.610177,11.7342
0.15,1.84074,0.613581,11.7432
0.151,1.85093,0.616978,11.7522
0.152,1.8611,0.620368,11.7611
0.153,1.87125,0.623751,11.77
0.154,1.88138,0.627127,11.7789
0.155,1.89149,0.630496,11.7877
0.156,1.90158,0.633858,11.7965
0.157,1.91164,0.637214,11.8053
0.158,1.92169,0.640563,11.814
0.159,1.93171,0.643904,11.8228
0.16,1.94172,0.64724,11.8315
0.161,1.9517,0.650568,11.8401
0.162,1.96167,0.65389,11.8488
0.163,1.97161,0.657205,11.8574
0.164,1.98154,0.660513,11.866
0.165,1.99144,0.663815,11.8745
0.166,2.00133,0.66711,11.8831
0.167,2.0112,0.670399,11.8916
0.168,2.02104,0.673681,11.9001
0.169,2.03087,0.676957,11.9085
0.17,2.04068,0.680226,11.917
0.171,2.05047,0.683489,11.9254
0.172,2.06024,0.686745,11.9337
0.173,2.06999,0.689995,11.9421
0.174,2.07972,0.693239,11.9504
0.175,2.08943,0.696476,11.9587
0.176,2.09912,0.699707,11.967
0.177,2.1088,0.702932,11.9752
0.178,2.11845,0.706151,11.9834
0.179,2.12809,0.709363,11.9916
0.18,2.13771,0.712569,11.9998
0.181,2.14731,0.715769,12.008
0.182,2.15689,0.718963,12.0161
0.183,2.16645,0.722151,12.0242
0.184,2.176,0.725333,12.0322
0.185,2.18552,0.728508,12.0403
0.186,2.19503,0.731678,12.0483
0.187,2.20452,0.734842,12.0563
0.188,2.214,0.737999,12.0643
0.189,2.22345,0.741151,12.0722
0.19,2.23289,0.744297,12.0801
0.191,2.24231,0.747437,12.088
0.192,2.25171,0.750571,12.0959
0.193,2.2611,0.753699,12.1037
0.194,2.27046,0.756821,12.1116
0.195,2.27981,0.759938,12.1193
0.196,2.28915,0.763049,12.1271
0.197,2.29846,0.766154,12.1349
0.198,2.30776,0.769253,12.1426
0.199,2.31704,0.772346,12.1503
0.2,2.3263,0.775434,12.158
0.201,2.33555,0.778517,12.1656
0.202,2.34478,0.781593,12.1732
0.203,2.35399,0.784664,12.1809
0.204,2.36319,0.78773,12.1884
0.205,2.37237,0.79079,12.196
0.206,2.38153,0.793844,12.2035
0.207,2.39068,0.796893,12.211
0.208,2.39981,0.799936,12.2185
0.209,2.40892,0.802974,12.226
0.21,2.41802,0.806006,12.2334
0.211,2.4271,0.809033,12.2408
0.212,2.43616,0.812055,12.2482
0.213,2.44521,0.815071,12.2556
0.214,2.45425,0.818082,12.263
0.215,2.46326,0.821087,12.2703
0.216,2.47226,0.824087,12.2776
0.217,2.48125,0.827082,12.2849
0.218,2.49022,0.830072,12.2921
0.219,2.49917,0.833056,12.2994
0.22,2.50811,0.836035,12.3066
0.221,2.51703,0.839009,12.3138
0.222,2.52593,0.841978,12.3209
0.223,2.53482,0.844941,12.3281
0.224,2.5437,0.8479,12.3352
0.225,2.55256,0.850853,12.3423
0.226,2.5614,0.853801,12.3494
0.227,2.57023,0.856744,12.3564
0.228,2.57905,0.859682,12.3635
0.229,2.58785,0.862615,12.3705
0.23,2.59663,0.865543,12.3775
0.231,2.6054,0.868466,12.3844
0.232,2.61415,0.871384,12.3914
0.233,2.62289,0.874297,12.3983
0.234,2.63161,0.877205,12.4052
0.235,2.64032,0.880108,12.4121
0.236,2.64902,0.883006,12.419
0.237,2.6577,0.885899,12.4258
0.238,2.66636,0.888787,12.4326
0.239,2.67501,0.891671,12.4394
0.24,2.68365,0.89455,12.4462
0.241,2.69227,0.897423,12.453
0.242,2.70088,0.900292,12.4597
0.243,2.70947,0.903157,12.4664
0.244,2.71805,0.906016,12.4731
0.245,2.72661,0.908871,12.4798
0.246,2.73516,0.911721,12.4864
0.247,2.7437,0.914566,12.493
0.248,2.75222,0.917407,12.4997
0.249,2.76073,0.920243,12.5062
0.25,2.76922,0.923074,12.5128
0.251,2.7777,0.925901,12.5194
0.252,2.78617,0.928723,12.5259
0.253,2.79462,0.93154,12.5324
0.254,2.80306,0.934353,12.5389
0.255,2.81148,0.937162,12.5453
0.256,2.8199,0.939965,12.5518
0.257,2.82829,0.942765,12.5582
0.258,2.83668,0.945559,12.5646
0.259,2.84505,0.948349,12.571
0.26,2.85341,0.951135,12.5774
0.261,2.86175,0.953916,12.5837
0.262,2.87008,0.956693,12.59
0.263,2.8784,0.959466,12.5963
0.264,2.8867,0.962234,12.6026
0.265,2.89499,0.964997,12.6089
0.266,2.90327,0.967756,12.6151
0.267,2.91153,0.970511,12.6214
0.268,2.91978,0.973262,12.6276
0.269,2.92802,0.976008,12.6338
0.27,2.93625,0.978749,12.6399
0.271,2.94446,0.981487,12.6461
0.272,2.95266,0.98422,12.6522
0.273,2.96085,0.986949,12.6583
0.274,2.96902,0.989674,12.6644
0.275,2.97718,0.992394,12.6705
0.276,2.98533,0.99511,12.6765
0.277,2.99347,0.997822,12.6826
0.278,3.00159,1.00053,12.6886
0.279,3.0097,1.00323,12.6946
0.28,3.0178,1.00593,12.7005
0.281,3.02589,1.00863,12.7065
0.282,3.03396,1.01132,12.7124
0.283,3.04202,1.01401,12.7183
0.284,3.05007,1.01669,12.7242
0.285,3.05811,1.01937,12.7301
0.286,3.06613,1.02204,12.736
0.287,3.07414,1.02471,12.7418
0.288,3.08214,1.02738,12.7477
0.289,3.09013,1.03004,12.7535
0.29,3.09811,1.0327,12.7592
0.291,3.10607,1.03536,12.765
0.292,3.11402,1.03801,12.7708
0.293,3.12196,1.04065,12.7765
0.294,3.12989,1.0433,12.7822
0.295,3.13781,1.04594,12.7879
0.296,3.14571,1.04857,12.7936
0.297,3.1536,1.0512,12.7992
0.298,3.16149,1.05383,12.8049
0.299,3.16936,1.05645,12.8105
0.3,3.17721,1.05907,12.8161
0.301,3.18506,1.06169,12.8217
0.302,3.19289,1.0643,12.8273
0.303,3.20072,1.06691,12.8328
0.304,3.20853,1.06951,12.8383
0.305,3.21633,1.07211,12.8438
0.306,3.22412,1.07471,12.8493
0.307,3.2319,1.0773,12.8548
0.308,3.23966,1.07989,12.8603
0.309,3.24742,1.08247,12.8657
0.31,3.25516,1.08505,12.8711
0.311,3.26289,1.08763,12.8766
0.312,3.27061,1.0902,12.8819
0.313,3.27832,1.09277,12.8873
0.314,3.28602,1.09534,12.8927
0.315,3.29371,1.0979,12.898
0.316,3.30139,1.10046,12.9033
0.317,3.30905,1.10302,12.9086
0.318,3.31671,1.10557,12.9139
0.319,3.32435,1.10812,12.9192
0.32,3.33199,1.11066,12.9244
0.321,3.33961,1.1132,12.9297
0.322,3.34722,1.11574,12.9349
0.323,3.35482,1.11827,12.9401
0.324,3.36241,1.1208,12.9453
0.325,3.36999,1.12333,12.9504
0.326,3.37756,1.12585,12.9556
0.327,3.38512,1.12837,12.9607
0.328,3.39267,1.13089,12.9658
0.329,3.4002,1.1334,12.9709
0.33,3.40773,1.13591,12.976
0.331,3.41525,1.13842,12.9811
0.332,3.42275,1.14092,12.9861
0.333,3.43025,1.14342,12.9911
0.334,3.43773,1.14591,12.9961
0.335,3.44521,1.1484,13.0011
0.336,3.45267,1.15089,13.0061
0.337,3.46013,1.15338,13.0111
0.338,3.46757,1.15586,13.016
0.339,3.47501,1.15834,13.021
0.34,3.48243,1.16081,13.0259
0.341,3.48984,1.16328,13.0308
0.342,3.49725,1.16575,13.0356
0.343,3.50464,1.16821,13.0405
0.344,3.51202,1.17067,13.0454
0.345,3.5194,1.17313,13.0502
0.346,3.52676,1.17559,13.055
0.347,3.53412,1.17804,13.0598
0.348,3.54146,1.18049,13.0646
0.349,3.54879,1.18293,13.0693
0.35,3.55612,1.18537,13.0741
0.351,3.56343,1.18781,13.0788
0.352,3.57074,1.19025,13.0835
0.353,3.57803,1.19268,13.0882
0.354,3.58532,1.19511,13.0929
0.355,3.59259,1.19753,13.0976
0.356,3.59986,1.19995,13.1022
0.357,3.60711,1.20237,13.1069
0.358,3.61436,1.20479,13.1115
0.359,3.6216,1.2072,13.1161
0.36,3.62882,1.20961,13.1207
0.361,3.63604,1.21201,13.1253
0.362,3.64325,1.21442,13.1298
0.363,3.65045,1.21682,13.1344
0.364,3.65764,1.21921,13.1389
0.365,3.66482,1.22161,13.1434
0.366,3.67199,1.224,13.1479
0.367,3.67915,1.22638,13.1524
0.368,3.68631,1.22877,13.1568
0.369,3.69345,1.23115,13.1613
0.37,3.70058,1.23353,13.1657
0.371,3.70771,1.2359,13.1701
0.372,3.71482,1.23827,13.1745
0.373,3.72193,1.24064,13.1789
0.374,3.72903,1.24301,13.1833
0.375,3.73612,1.24537,13.1877
0.376,3.74319,1.24773,13.192
0.377,3.75026,1.25009,13.1963
0.378,3.75733,1.25244,13.2006
0.379,3.76438,1.25479,13.2049
0.38,3.77142,1.25714,13.2092
0.381,3.77846,1.25949,13.2135
0.382,3.78548,1.26183,13.2177
0.383,3.7925,1.26417,13.2219
0.384,3.79951,1.2665,13.2262
0.385,3.80651,1.26884,13.2304
