#Projectile Motion Simulation Data
#Validation Type: With Magnus Effect
#Initial Position (m): (0, 0, 10)
#Initial Velocity (m/s): (15, 5, 15)
#Initial Spin (rad/s): (-20, -40, 20)
#Diameter (m): 0.04
#Mass (kg): 0.0027
#Drag Coefficient: 0.5
#Air Density (kg/m^3): 1.27
#Final Time (s): 4.517
#Final Position (m): (17.2285, 8.24716, 0.000772679)

Time,X,Y,Z
0,0,0,10
0.001,0.0149619,0.00500394,10.015
0.002,0.029848,0.0100157,10.0299
0.003,0.0446587,0.0150353,10.0448
0.004,0.0593945,0.0200625,10.0597
0.005,0.0740558,0.0250975,10.0745
0.006,0.0886432,0.03014,10.0893
0.007,0.103157,0.0351901,10.1041
0.008,0.117598,0.0402477,10.1188
0.009,0.131965,0.0453127,10.1335
0.01,0.146261,0.050385,10.1481
0.011,0.160485,0.0554647,10.1627
0.012,0.174638,0.0605517,10.1773
0.013,0.188719,0.0656459,10.1918
0.014,0.20273,0.0707472,10.2063
0.015,0.216671,0.0758556,10.2208
0.016,0.230542,0.0809711,10.2352
0.017,0.244344,0.0860936,10.2496
0.018,0.258077,0.091223,10.264
0.019,0.271741,0.0963594,10.2783
0.02,0.285337,0.101503,10.2926
0.021,0.298866,0.106652,10.3068
0.022,0.312327,0.111809,10.3211
0.023,0.325721,0.116973,10.3352
0.024,0.339049,0.122143,10.3494
0.025,0.35231,0.127319,10.3635
0.026,0.365506,0.132502,10.3776
0.027,0.378636,0.137692,10.3916
0.028,0.391702,0.142888,10.4056
0.029,0.404702,0.148091,10.4196
0.03,0.417638,0.153299,10.4335
0.031,0.43051,0.158515,10.4474
0.032,0.443319,0.163736,10.4613
0.033,0.456064,0.168963,10.4752
0.034,0.468746,0.174197,10.489
0.035,0.481366,0.179437,10.5027
0.036,0.493923,0.184683,10.5165
0.037,0.506419,0.189935,10.5302
0.038,0.518853,0.195193,10.5439
0.039,0.531226,0.200457,10.5575
0.04,0.543538,0.205727,10.5711
0.041,0.555789,0.211002,10.5847
0.042,0.56798,0.216284,10.5982
0.043,0.580111,0.221571,10.6117
0.044,0.592183,0.226864,10.6252
0.045,0.604195,0.232162,10.6387
0.046,0.616148,0.237466,10.6521
0.047,0.628043,0.242776,10.6654
0.048,0.63988,0.248091,10.6788
0.049,0.651658,0.253412,10.6921
0.05,0.663379,0.258739,10.7054
0.051,0.675042,0.26407,10.7187
0.052,0.686648,0.269407,10.7319
0.053,0.698198,0.27475,10.7451
0.054,0.70969,0.280098,10.7582
0.055,0.721127,0.285451,10.7714
0.056,0.732508,0.290809,10.7845
0.057,0.743833,0.296172,10.7975
0.058,0.755102,0.301541,10.8106
0.059,0.766317,0.306915,10.8236
0.06,0.777477,0.312293,10.8365
0.061,0.788582,0.317677,10.8495
0.062,0.799633,0.323066,10.8624
0.063,0.810631,0.32846,10.8753
0.064,0.821574,0.333858,10.8881
0.065,0.832464,0.339262,10.901
0.066,0.843301,0.34467,10.9137
0.067,0.854085,0.350083,10.9265
