Time,Angle,AngularVelocity
0,0.2,0
0.04,0.200795,0.0396313
0.08,0.203159,0.0783824
0.12,0.207053,0.116177
0.16,0.212439,0.152941
0.2,0.219274,0.188606
0.24,0.227512,0.223104
0.28,0.237106,0.256373
0.32,0.248005,0.288352
0.36,0.260156,0.318987
0.4,0.273505,0.348225
0.44,0.287995,0.376018
0.48,0.303567,0.402324
0.52,0.32016,0.427101
0.56,0.337714,0.450314
0.6,0.356164,0.471932
0.64,0.375447,0.491928
0.68,0.395496,0.510277
0.72,0.416247,0.526961
0.76,0.437631,0.541966
0.8,0.459582,0.555281
0.84,0.482031,0.566899
0.88,0.504911,0.576817
0.92,0.528154,0.585037
0.96,0.551691,0.591564
1,0.575456,0.596406
1.04,0.599381,0.599576
1.08,0.6234,0.601088
1.12,0.647447,0.60096
1.16,0.671455,0.599215
1.2,0.695362,0.595876
1.24,0.719105,0.590968
1.28,0.742619,0.58452
1.32,0.765846,0.576562
1.36,0.788725,0.567126
1.4,0.811197,0.556246
1.44,0.833205,0.543955
1.48,0.854695,0.53029
1.52,0.875611,0.515286
1.56,0.8959,0.498981
1.6,0.915512,0.481411
1.64,0.934397,0.462614
1.68,0.952506,0.442629
1.72,0.969792,0.421491
1.76,0.98621,0.399239
1.8,1.00172,0.37591
1.84,1.01627,0.351541
1.88,1.02983,0.326168
1.92,1.04235,0.299827
1.96,1.0538,0.272553
2,1.06414,0.244383
2.04,1.07334,0.215351
2.08,1.08136,0.185492
2.12,1.08817,0.15484
2.16,1.09374,0.123429
2.2,1.09803,0.0912943
2.24,1.10103,0.0584695
2.28,1.1027,0.0249894
2.32,1.10302,-0.00911118
2.36,1.10197,-0.0437968
2.4,1.09951,-0.0790313
2.44,1.09564,-0.114778
2.48,1.09032,-0.150998
2.52,1.08355,-0.187654
2.56,1.0753,-0.224703
2.6,1.06557,-0.262105
2.64,1.05433,-0.299816
2.68,1.04158,-0.337789
2.72,1.02731,-0.375978
2.76,1.0115,-0.414331
2.8,0.994158,-0.452799
2.84,0.975275,-0.491324
2.88,0.954852,-0.529852
2.92,0.932888,-0.568321
2.96,0.909388,-0.606671
3,0.884357,-0.644835
3.04,0.857804,-0.682748
3.08,0.829741,-0.72034
3.12,0.800182,-0.757538
3.16,0.769144,-0.794269
3.2,0.736648,-0.830457
3.24,0.702716,-0.866024
3.28,0.667375,-0.900893
3.32,0.630655,-0.934983
3.36,0.592588,-0.968215
3.4,0.55321,-1.00051
3.44,0.512561,-1.03179
3.48,0.470682,-1.06197
3.52,0.427619,-1.09098
3.56,0.38342,-1.11875
3.6,0.338137,-1.1452
3.64,0.291823,-1.17027
3.68,0.244534,-1.1939
3.72,0.19633,-1.21603
3.76,0.147272,-1.23661
3.8,0.0974226,-1.2556
3.84,0.0468462,-1.27295
3.88,-0.00439112,-1.28864
3.92,-0.0562223,-1.30264
3.96,-0.10858,-1.31494
4,-0.161395,-1.32554
4.04,-0.2146,-1.33443
4.08,-0.268127,-1.34163
4.12,-0.321908,-1.34715
4.16,-0.375877,-1.35103
4.2,-0.429968,-1.35329
4.24,-0.484119,-1.35398
4.28,-0.538267,-1.35315
4.32,-0.592352,-1.35086
4.36,-0.646317,-1.34716
4.4,-0.700107,-1.34213
4.44,-0.75367,-1.33583
4.48,-0.806958,-1.32834
4.52,-0.859923,-1.31974
4.56,-0.912523,-1.31011
4.6,-0.964719,-1.29952
4.64,-1.01647,-1.28807
4.68,-1.06775,-1.27582
4.72,-1.11853,-1.26288
4.76,-1.16878,-1.2493
4.8,-1.21847,-1.23518
4.84,-1.26758,-1.2206
4.88,-1.31611,-1.20561
4.92,-1.36403,-1.1903
4.96,-1.41133,-1.17473
5,-1.458,-1.15896
5.04,-1.50404,-1.14305
5.08,-1.54945,-1.12707
5.12,-1.59421,-1.11106
5.16,-1.63833,-1.09506
5.2,-1.68182,-1.07913
5.24,-1.72466,-1.06329
5.28,-1.76688,-1.04759
5.32,-1.80847,-1.03206
5.36,-1.84945,-1.01672
5.4,-1.88981,-1.0016
5.44,-1.92958,-0.986708
5.48,-1.96875,-0.972075
5.52,-2.00735,-0.957707
5.56,-2.04537,-0.943617
5.6,-2.08284,-0.92981
5.64,-2.11976,-0.916292
5.68,-2.15615,-0.903065
5.72,-2.19201,-0.890129
5.76,-2.22736,-0.877481
5.8,-2.26221,-0.865119
5.84,-2.29658,-0.853035
